exp_id,model_type,lr,decay,seed,window,bs,emb_dimension,n_hidden,n_epochs,train_data,partial_words,loss_function,reg,pos,n_acoustic_features,n_language_model_features,embeddings,update_embeddings,batch_size,word_rep,pos_rep,tags,decoder_type,utts_presegmented,do_utt_segmentation,notes
27,elman,0.005,False,1000000,2,9,50,50,150,swbd_disf_train_1_2,False,nll,L2(0.00001),True,0,0,swbd_clean_50,True,word,swbd_word_rep,swbd_pos_rep,swbd_disf2,markov_model,True,False,trying_representation_2
28,elman,0.005,False,1000000,3,9,50,50,150,swbd_disf_train_1_2,False,nll,L2(0.00001),True,0,0,swbd_clean_50,True,word,swbd_word_rep,swbd_pos_rep,swbd_disf2,markov_model,True,False,trying_longer_context_with_new_representation
29,elman,0.005,False,1000000,2,9,50,50,150,swbd_disf_train_1_2,False,nll,L2(0.00001),True,0,0,swbd_clean_50,True,word,swbd_word_rep,swbd_pos_rep,swbd_disf3,markov_model,True,False,trying_representation_3_may_help_focus_on_repairs
30,elman,0.005,False,1000000,3,9,50,50,150,swbd_disf_train_1_2,False,nll,L2(0.00001),True,0,0,swbd_clean_50,True,word,swbd_word_rep,swbd_pos_rep,swbd_disf3,markov_model,True,False,trying_representation_3_with_3_len
31,elman,0.005,False,1000000,3,9,50,50,150,swbd_disf_train_1,True,nll,L2(0.00001),True,350,0,swbd_clean_50,True,word,swbd_word_rep,swbd_pos_rep,swbd_disf1_uttseg_simple,markov_model,False,True,trying_joint_end_of_utt_detection_simple_with_acoustic_data
32,elman,0.005,False,1000000,2,9,50,200,150,swbd_disf_train_1,True,nll,L2(0.00001),True,350,0,swbd_clean_50,True,word,swbd_word_rep,swbd_pos_rep,swbd_disf1_uttseg_simple,markov_model,False,True,given_failure_of_31_to_learn_trying_bigger_hidden_layer
33,elman,0.005,False,1000000,2,9,50,50,150,swbd_disf_train_1,True,nll,L2(0.00001),True,0,0,swbd_clean_50,True,word,swbd_word_rep_033,swbd_pos_rep_033,swbd_disf1_uttseg_simple_033,markov_model,False,True,trying_simple_tag_set
34,elman,0.005,False,1000000,2,9,50,50,150,swbd_disf_train_1,True,nll,L2(0.00001),True,0,0,swbd_clean_50,True,word,swbd_word_rep_033,swbd_pos_rep_033,swbd_disf1_uttseg_034,markov_model,False,True,trying_full_tag_set_no_acoustic_data
35,lstm,0.005,False,1000000,2,9,50,50,150,swbd_disf_train_1,True,nll,L2(0.00001),True,0,0,swbd_clean_50,True,word,swbd_word_rep_033,swbd_pos_rep_033,swbd_disf1_uttseg_simple_033,markov_model,False,True,trying_simple_tag_set_no_acoustic_data_lstm
36,lstm,0.005,False,1000000,2,9,50,50,150,swbd_disf_train_1,True,nll,L2(0.00001),True,0,0,swbd_clean_50,True,word,swbd_word_rep_033,swbd_pos_rep_033,swbd_disf1_uttseg_034,markov_model,False,True,trying_full_tag_set_no_acoustic_data_lstm
37,lstm,0.005,False,1000000,2,9,50,50,150,swbd_disf_train_1,True,nll,L2(0.00001),True,0,0,swbd_clean_50,True,word,swbd_word_rep_033,swbd_pos_rep_033,swbd_disf1_simple,markov_model,False,False,simple_tag_set_disfluency_only_lstm
38,lstm,0.005,False,1000000,2,9,50,50,150,swbd_disf_train_1,True,nll,L2(0.00001),True,0,0,swbd_clean_50,True,word,swbd_word_rep_033,swbd_pos_rep_033,swbd_uttseg,markov_model,False,True,utt_seg_only_lstm
39,lstm,0.005,False,1000000,2,9,50,50,150,swbd_disf_train_1,True,nll,L2(0.00001),True,0,0,swbd_clean_50,True,word,swbd_word_rep_033,swbd_pos_rep_033,swbd_disf1_39,markov_model,False,False,disfluency_only_lstm
40,lstm,0.005,False,1000000,2,9,50,50,150,swbd_disf_train_1,True,nll,L2(0.00001),True,0,0,swbd_clean_50,True,word,swbd_word_rep_033,swbd_pos_rep_033,swbd_disf1_uttseg_034,markov_model_noisy_channel,False,True,trying_noisy_channel_decoder
41,lstm,0.005,False,1000000,2,9,50,50,150,swbd_disf_train_1,False,nll,L2(0.00001),True,0,0,swbd_clean_50,True,word,swbd_word_rep_041,swbd_pos_rep_041,swbd_disf1_021,markov_model,True,False,disfluency_only_lstm_on_preseg
42,lstm,0.005,False,1000000,2,9,50,50,150,swbd_disf_train_1,False,nll,L2(0.00001),True,0,0,swbd_clean_50,True,word,swbd_word_rep,swbd_pos_rep,swbd_disf1,markov_model_noisy_channel,True,False,41_with_noisy_channel_for_non_uttseg
